,good std,bad std,min,max
CPU,0.25,0.175,4.823655,28.40336
CPU,0.5,0.35,5.495065,24.2838
CPU,0.75,0.525,7.990852,24.96258
CPU,1,0.7,7.723469,19.82033
UPFRONT,0.25,0.175,7.691262,30.52211
UPFRONT,0.5,0.35,8.073452,27.08713
UPFRONT,0.75,0.525,11.79117,31.10541
UPFRONT,1,0.7,11.33156,24.96379
UPFRONT_OPREP,0.25,0.175,0.156251,26.02472
UPFRONT_OPREP,0.5,0.35,4.574904,22.74669
UPFRONT_OPREP,0.75,0.525,3.318622,28.06723
UPFRONT_OPREP,1,0.7,2.179193,18.49253
CPU_OPREP,0.25,0.175,4.612957,25.95916
CPU_OPREP,0.5,0.35,6.469935,22.69032
CPU_OPREP,0.75,0.525,6.340659,22.75414
CPU_OPREP,1,0.7,7.19502,27.18712
UPFRONT_COLLABORATOR,0.25,0.175,,26.80662
UPFRONT_COLLABORATOR,0.5,0.35,,28.77158
UPFRONT_COLLABORATOR,0.75,0.525,,37.4645
UPFRONT_COLLABORATOR,1,0.7,,28.32323
CPU_OPREP_COLLABORATOR,0.25,0.175,,27.86586
CPU_OPREP_COLLABORATOR,0.5,0.35,,25.60351
CPU_OPREP_COLLABORATOR,0.75,0.525,,29.55099
CPU_OPREP_COLLABORATOR,1,0.7,,26.93284
