collabarotar_status,strategy,T,units,A,B,m,mu,c,cu,no_instances,good_rank,good_frac,good_mean,good_stddev,bad_rank,bad_frac,bad_mean,bad_stddev,Unnecessary_work,no_instances_used,no_migrations,no_collaboration_works,total_work,effective_perf_rate,naive_total_work,naive_effective_rate,speedup,percentage_improvement
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,8093109.03781,9.36702434932,8093109.03781,9.36702434932,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7251614.23811,8.39307203484,7251614.23811,8.39307203484,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7216170.03922,8.35204865651,7216170.03922,8.35204865651,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7258952.59363,8.40156550188,7258952.59363,8.40156550188,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7927351.67628,9.17517555125,7927351.67628,9.17517555125,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7760706.21533,8.98229886033,7760706.21533,8.98229886033,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7542054.60963,8.72922987225,7542054.60963,8.72922987225,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7814601.76906,9.04467797345,7814601.76906,9.04467797345,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7473867.76725,8.6503099158,7473867.76725,8.6503099158,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.175,0,10,0,0,7807677.44313,9.03666370732,7807677.44313,9.03666370732,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,6802458.54772,7.87321591171,6802458.54772,7.87321591171,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7267242.16137,8.411159909,7267242.16137,8.411159909,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7533071.1854,8.71883239051,7533071.1854,8.71883239051,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7063694.97583,8.17557288869,7063694.97583,8.17557288869,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7010593.20889,8.11411251029,7010593.20889,8.11411251029,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7708422.93028,8.92178579893,7708422.93028,8.92178579893,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7908149.16696,9.15295042472,7908149.16696,9.15295042472,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7640803.04211,8.84352203948,7640803.04211,8.84352203948,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7636934.20463,8.83904421833,7636934.20463,8.83904421833,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.35,0,10,0,0,7319460.96812,8.47159834274,7319460.96812,8.47159834274,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.525,0,10,0,0,8167852.89721,9.45353344585,8167852.89721,9.45353344585,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.525,0,10,0,0,7114445.69067,8.23431214198,7114445.69067,8.23431214198,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.525,0,10,0,0,8103367.81141,9.37889792987,8103367.81141,9.37889792987,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.525,0,10,0,0,7907268.9288,9.15193163056,7907268.9288,9.15193163056,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.525,0,10,0,0,7479458.91007,8.65678114592,7479458.91007,8.65678114592,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.25,1,0.5,7.0,0.525,0,10,0,0,7440430.20705,8.61160903593,7440430.20705,8.61160903593,1.0,0.0
