collabarotar_status,strategy,T,units,A,B,m,mu,c,cu,no_instances,good_rank,good_frac,good_mean,good_stddev,bad_rank,bad_frac,bad_mean,bad_stddev,Unnecessary_work,no_instances_used,no_migrations,no_collaboration_works,total_work,effective_perf_rate,naive_total_work,naive_effective_rate,speedup,percentage_improvement
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6340334.36638,7.33834996108,6340334.36638,7.33834996108,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6367755.39601,7.3700872639,6367755.39601,7.3700872639,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6294693.56976,7.285524965,6294693.56976,7.285524965,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6283393.80618,7.27244653493,6283393.80618,7.27244653493,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6354931.25835,7.35524451198,6354931.25835,7.35524451198,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6292682.23762,7.28319703428,6292682.23762,7.28319703428,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6369110.68772,7.37165588857,6369110.68772,7.37165588857,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6278018.1418,7.26622470115,6278018.1418,7.26622470115,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6296804.0301,7.28796762743,6296804.0301,7.28796762743,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.0,10.0,0.5,1,1.0,7.0,0.35,0,10,0,0,6339238.4525,7.33708154225,6339238.4525,7.33708154225,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6439184.17796,7.45275946523,6439184.17796,7.45275946523,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6639634.92169,7.68476264085,6639634.92169,7.68476264085,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6352813.08294,7.35279292007,6352813.08294,7.35279292007,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6511899.39794,7.53692059946,6511899.39794,7.53692059946,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6876789.63451,7.95924726217,6876789.63451,7.95924726217,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6612253.54418,7.65307123169,6612253.54418,7.65307123169,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,7108017.8474,8.22687250857,7108017.8474,8.22687250857,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6652572.77625,7.69973700955,6652572.77625,7.69973700955,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,7229524.2158,8.3675048794,7229524.2158,8.3675048794,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.1,10.0,0.5,1,0.9,7.0,0.35,0,10,0,0,6353092.71935,7.35311657333,6353092.71935,7.35311657333,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.2,10.0,0.5,1,0.8,7.0,0.35,0,10,0,0,6658430.65266,7.7065169591,6658430.65266,7.7065169591,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.2,10.0,0.5,1,0.8,7.0,0.35,0,10,0,0,6905785.82275,7.99280766522,6905785.82275,7.99280766522,1.0,0.0
