collabarotar_status,strategy,T,units,A,B,m,mu,c,cu,no_instances,good_rank,good_frac,good_mean,good_stddev,bad_rank,bad_frac,bad_mean,bad_stddev,Unnecessary_work,no_instances_used,no_migrations,no_collaboration_works,total_work,effective_perf_rate,naive_total_work,naive_effective_rate,speedup,percentage_improvement
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8476849.53168,9.81116843944,8476849.53168,9.81116843944,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8571835.96388,9.92110643967,8571835.96388,9.92110643967,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8866588.78545,10.2622555387,8866588.78545,10.2622555387,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8665785.53199,10.0298443657,8665785.53199,10.0298443657,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8532342.73005,9.8753966783,8532342.73005,9.8753966783,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8274702.27133,9.57720170293,8274702.27133,9.57720170293,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8699702.86776,10.0691005414,8699702.86776,10.0691005414,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8369969.64775,9.68746487008,8369969.64775,9.68746487008,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8747894.42674,10.1248778087,8747894.42674,10.1248778087,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,9.0,0.45,0,10,0,0,8439084.81671,9.7674592786,8439084.81671,9.7674592786,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,7524532.3114,8.70894943449,7524532.3114,8.70894943449,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,7949364.75006,9.2006536459,7949364.75006,9.2006536459,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,8343773.44888,9.65714519546,8343773.44888,9.65714519546,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,8101360.36423,9.37657449563,8101360.36423,9.37657449563,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,7941088.3438,9.191074472,7941088.3438,9.191074472,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,7854003.38886,9.09028170007,7854003.38886,9.09028170007,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,8337266.57688,9.64961409362,8337266.57688,9.64961409362,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,8284335.00575,9.5883507011,8284335.00575,9.5883507011,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,8025769.42489,9.28908498251,8025769.42489,9.28908498251,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,8.0,0.4,0,10,0,0,8005946.4769,9.26614175567,8005946.4769,9.26614175567,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7042925.04285,8.15153361441,7042925.04285,8.15153361441,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7927892.83727,9.17580189499,7927892.83727,9.17580189499,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7145699.92343,8.27048602249,7145699.92343,8.27048602249,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7161759.23551,8.28907318925,7161759.23551,8.28907318925,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7674593.58049,8.8826314589,7674593.58049,8.8826314589,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7132305.50051,8.25498321819,7132305.50051,8.25498321819,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,8437090.82162,9.76515141391,8437090.82162,9.76515141391,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7402115.22166,8.56726298803,7402115.22166,8.56726298803,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7406238.54334,8.57203535108,7406238.54334,8.57203535108,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,7.0,0.35,0,10,0,0,7179987.33069,8.31017052163,7179987.33069,8.31017052163,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,7563196.89201,8.75370010649,7563196.89201,8.75370010649,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,6472015.03669,7.49075814432,6472015.03669,7.49075814432,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,7987101.04036,9.24432990782,7987101.04036,9.24432990782,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,7265807.46764,8.40949938384,7265807.46764,8.40949938384,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,7277493.16156,8.42302449254,7277493.16156,8.42302449254,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,7611486.22122,8.80959053382,7611486.22122,8.80959053382,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,7230905.49149,8.36910357812,7230905.49149,8.36910357812,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,8117182.33685,9.39488696394,8117182.33685,9.39488696394,1.0,0.0
False,CPU,24,3600.0,10,0,180.0,2.0,0.0,0.0,2,0,0.5,10.0,0.5,1,0.5,6.0,0.3,0,10,0,0,6831580.31666,7.9069216628,6831580.31666,7.9069216628,1.0,0.0
