filename, server, serverIP, doclength, concurrency, time, compreq, failreq, tottran, htmltran, reqpersec, timeperreqall, timeperreq, transrate, type
large2676_apache2_c_10, Apache/2.4.7, 52.38.147.194, 11510, 10, 3.212, 10000, 0, 117830000, 115100000, 3113.74, 3.212, 0.321, 35829.32, large2676
large2676_apache2_c_100, Apache/2.4.7, 52.38.147.194, 11510, 100, 2.784, 10000, 0, 117830000, 115100000, 3591.74, 27.842, 0.278, 41329.61, large2676
large2676_apache2_c_1000, Apache/2.4.7, 52.38.147.194, 11510, 1000, 2.887, 10000, 0, 117830000, 115100000, 3463.70, 288.708, 0.289, 39856.27, large2676
large2676_apache2_c_110, Apache/2.4.7, 52.38.147.194, 11510, 110, 2.759, 10000, 0, 117830000, 115100000, 3624.92, 30.346, 0.276, 41711.35, large2676
large2676_apache2_c_120, Apache/2.4.7, 52.38.147.194, 11510, 120, 2.767, 10000, 0, 117830000, 115100000, 3613.70, 33.207, 0.277, 41582.30, large2676
large2676_apache2_c_130, Apache/2.4.7, 52.38.147.194, 11510, 130, 2.781, 10000, 0, 117830000, 115100000, 3596.35, 36.148, 0.278, 41382.58, large2676
large2676_apache2_c_140, Apache/2.4.7, 52.38.147.194, 11510, 140, 2.838, 10000, 0, 117830000, 115100000, 3523.99, 39.728, 0.284, 40549.92, large2676
large2676_apache2_c_150, Apache/2.4.7, 52.38.147.194, 11510, 150, 2.839, 10000, 0, 117830000, 115100000, 3521.81, 42.592, 0.284, 40524.92, large2676
large2676_apache2_c_160, Apache/2.4.7, 52.38.147.194, 11510, 160, 2.857, 10000, 0, 117830000, 115100000, 3500.12, 45.713, 0.286, 40275.29, large2676
large2676_apache2_c_170, Apache/2.4.7, 52.38.147.194, 11510, 170, 3.323, 10000, 0, 117830000, 115100000, 3009.69, 56.484, 0.332, 34631.97, large2676
large2676_apache2_c_180, Apache/2.4.7, 52.38.147.194, 11510, 180, 2.985, 10000, 0, 117830000, 115100000, 3349.87, 53.733, 0.299, 38546.40, large2676
large2676_apache2_c_190, Apache/2.4.7, 52.38.147.194, 11510, 190, 2.847, 10000, 0, 117830000, 115100000, 3512.51, 54.092, 0.285, 40417.88, large2676
large2676_apache2_c_20, Apache/2.4.7, 52.38.147.194, 11510, 20, 2.733, 10000, 0, 117830000, 115100000, 3658.34, 5.467, 0.273, 42095.91, large2676
large2676_apache2_c_200, Apache/2.4.7, 52.38.147.194, 11510, 200, 2.834, 10000, 0, 117830000, 115100000, 3528.52, 56.681, 0.283, 40602.08, large2676
large2676_apache2_c_210, Apache/2.4.7, 52.38.147.194, 11510, 210, 2.898, 10000, 0, 117830000, 115100000, 3450.55, 60.860, 0.290, 39704.92, large2676
large2676_apache2_c_220, Apache/2.4.7, 52.38.147.194, 11510, 220, 2.855, 10000, 0, 117830000, 115100000, 3503.01, 62.803, 0.285, 40308.59, large2676
large2676_apache2_c_230, Apache/2.4.7, 52.38.147.194, 11510, 230, 2.948, 10000, 0, 117830000, 115100000, 3391.77, 67.811, 0.295, 39028.52, large2676
large2676_apache2_c_240, Apache/2.4.7, 52.38.147.194, 11510, 240, 2.866, 10000, 0, 117830000, 115100000, 3488.81, 68.791, 0.287, 40145.13, large2676
large2676_apache2_c_250, Apache/2.4.7, 52.38.147.194, 11510, 250, 2.879, 10000, 0, 117830000, 115100000, 3473.08, 71.982, 0.288, 39964.16, large2676
large2676_apache2_c_260, Apache/2.4.7, 52.38.147.194, 11510, 260, 2.858, 10000, 0, 117830000, 115100000, 3498.76, 74.312, 0.286, 40259.62, large2676
large2676_apache2_c_270, Apache/2.4.7, 52.38.147.194, 11510, 270, 3.067, 10000, 0, 117830000, 115100000, 3260.10, 82.820, 0.307, 37513.42, large2676
large2676_apache2_c_280, Apache/2.4.7, 52.38.147.194, 11510, 280, 3.016, 10000, 0, 117830000, 115100000, 3315.58, 84.450, 0.302, 38151.88, large2676
large2676_apache2_c_290, Apache/2.4.7, 52.38.147.194, 11510, 290, 2.866, 10000, 0, 117830000, 115100000, 3489.77, 83.100, 0.287, 40156.26, large2676
large2676_apache2_c_30, Apache/2.4.7, 52.38.147.194, 11510, 30, 2.709, 10000, 0, 117830000, 115100000, 3691.39, 8.127, 0.271, 42476.28, large2676
large2676_apache2_c_300, Apache/2.4.7, 52.38.147.194, 11510, 300, 2.836, 10000, 0, 117830000, 115100000, 3525.93, 85.084, 0.284, 40572.30, large2676
large2676_apache2_c_310, Apache/2.4.7, 52.38.147.194, 11510, 310, 2.892, 10000, 0, 117830000, 115100000, 3457.34, 89.664, 0.289, 39783.09, large2676
large2676_apache2_c_320, Apache/2.4.7, 52.38.147.194, 11510, 320, 2.870, 10000, 0, 117830000, 115100000, 3484.26, 91.841, 0.287, 40092.86, large2676
large2676_apache2_c_330, Apache/2.4.7, 52.38.147.194, 11510, 330, 2.887, 10000, 0, 117830000, 115100000, 3463.47, 95.280, 0.289, 39853.58, large2676
large2676_apache2_c_340, Apache/2.4.7, 52.38.147.194, 11510, 340, 2.932, 10000, 0, 117830000, 115100000, 3411.11, 99.674, 0.293, 39251.06, large2676
large2676_apache2_c_350, Apache/2.4.7, 52.38.147.194, 11510, 350, 2.863, 10000, 0, 117830000, 115100000, 3492.62, 100.211, 0.286, 40189.03, large2676
large2676_apache2_c_360, Apache/2.4.7, 52.38.147.194, 11510, 360, 2.826, 10000, 0, 117830000, 115100000, 3538.30, 101.744, 0.283, 40714.64, large2676
large2676_apache2_c_370, Apache/2.4.7, 52.38.147.194, 11510, 370, 2.984, 10000, 0, 117830000, 115100000, 3350.76, 110.423, 0.298, 38556.60, large2676
