filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
micro_2676_apache2_c_10,Apache/2.4.7,52.38.252.251,11510,10,7.682,10000,0,117830000,115100000,1301.80,7.682,0.768,14979.56,micro
micro_2676_apache2_c_100,Apache/2.4.7,52.38.252.251,11510,100,10.431,10000,0,117830000,115100000,958.66,104.312,1.043,11031.17,micro
micro_2676_apache2_c_1000,micro
micro_2676_apache2_c_110,Apache/2.4.7,52.38.252.251,11510,110,10.623,10000,0,117830000,115100000,941.33,116.856,1.062,10831.73,micro
micro_2676_apache2_c_120,Apache/2.4.7,52.38.252.251,11510,120,11.316,10000,0,117830000,115100000,883.72,135.789,1.132,10168.86,micro
micro_2676_apache2_c_130,Apache/2.4.7,52.38.252.251,11510,130,10.358,10000,0,117830000,115100000,965.48,134.648,1.036,11109.65,micro
micro_2676_apache2_c_140,Apache/2.4.7,52.38.252.251,11510,140,10.241,10000,0,117830000,115100000,976.50,143.369,1.024,11236.44,micro
micro_2676_apache2_c_150,Apache/2.4.7,52.38.252.251,11510,150,10.693,10000,0,117830000,115100000,935.21,160.392,1.069,10761.31,micro
micro_2676_apache2_c_160,Apache/2.4.7,52.38.252.251,11510,160,10.822,10000,0,117830000,115100000,924.02,173.156,1.082,10632.60,micro
micro_2676_apache2_c_170,Apache/2.4.7,52.38.252.251,11510,170,10.654,10000,0,117830000,115100000,938.60,181.121,1.065,10800.32,micro
micro_2676_apache2_c_180,Apache/2.4.7,52.38.252.251,11510,180,10.559,10000,0,117830000,115100000,947.03,190.068,1.056,10897.32,micro
micro_2676_apache2_c_190,Apache/2.4.7,52.38.252.251,11510,190,10.309,10000,0,117830000,115100000,970.00,195.876,1.031,11161.66,micro
micro_2676_apache2_c_20,Apache/2.4.7,52.38.252.251,11510,20,7.666,10000,0,117830000,115100000,1304.38,15.333,0.767,15009.27,micro
micro_2676_apache2_c_200,Apache/2.4.7,52.38.252.251,11510,200,10.792,10000,0,117830000,115100000,926.64,215.834,1.079,10662.65,micro
micro_2676_apache2_c_210,Apache/2.4.7,52.38.252.251,11510,210,10.820,10000,0,117830000,115100000,924.20,227.224,1.082,10634.58,micro
micro_2676_apache2_c_220,Apache/2.4.7,52.38.252.251,11510,220,10.125,10000,0,117830000,115100000,987.63,222.755,1.013,11364.52,micro
micro_2676_apache2_c_230,Apache/2.4.7,52.38.252.251,11510,230,10.320,10000,0,117830000,115100000,969.01,237.355,1.032,11150.25,micro
micro_2676_apache2_c_240,Apache/2.4.7,52.38.252.251,11510,240,10.787,10000,0,117830000,115100000,927.07,258.879,1.079,10667.68,micro
micro_2676_apache2_c_250,Apache/2.4.7,52.38.252.251,11510,250,10.327,10000,0,117830000,115100000,968.34,258.175,1.033,11142.49,micro
