filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
nano_2676_apache2_c_10,Apache/2.4.7,52.39.167.138,11510,10,10.613,10000,0,117830000,115100000,942.25,10.613,1.061,10842.37,nano
nano_2676_apache2_c_100,Apache/2.4.7,52.39.167.138,11510,100,9.466,10000,0,117830000,115100000,1056.37,94.663,0.947,12155.53,nano
nano_2676_apache2_c_1000,nano
nano_2676_apache2_c_110,Apache/2.4.7,52.39.167.138,11510,110,9.421,10000,0,117830000,115100000,1061.43,103.634,0.942,12213.72,nano
nano_2676_apache2_c_120,Apache/2.4.7,52.39.167.138,11510,120,9.220,10000,0,117830000,115100000,1084.56,110.643,0.922,12479.91,nano
nano_2676_apache2_c_130,Apache/2.4.7,52.39.167.138,11510,130,9.323,10000,0,117830000,115100000,1072.65,121.195,0.932,12342.84,nano
nano_2676_apache2_c_140,Apache/2.4.7,52.39.167.138,11510,140,9.284,10000,0,117830000,115100000,1077.14,129.974,0.928,12394.44,nano
nano_2676_apache2_c_150,Apache/2.4.7,52.39.167.138,11510,150,10.395,10000,0,117830000,115100000,962.03,155.920,1.039,11069.96,nano
nano_2676_apache2_c_160,Apache/2.4.7,52.39.167.138,11510,160,9.298,10000,0,117830000,115100000,1075.55,148.762,0.930,12376.13,nano
nano_2676_apache2_c_170,Apache/2.4.7,52.39.167.138,11510,170,9.457,10000,0,117830000,115100000,1057.44,160.766,0.946,12167.75,nano
nano_2676_apache2_c_180,Apache/2.4.7,52.39.167.138,11510,180,9.217,10000,0,117830000,115100000,1084.91,165.912,0.922,12483.90,nano
nano_2676_apache2_c_190,Apache/2.4.7,52.39.167.138,11510,190,9.170,10000,0,117830000,115100000,1090.52,174.229,0.917,12548.42,nano
nano_2676_apache2_c_20,Apache/2.4.7,52.39.167.138,11510,20,10.061,10000,0,117830000,115100000,993.90,20.123,1.006,11436.63,nano
