filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
small2676_apache2_c_10,Apache/2.4.7,52.39.163.150,11510,10,12.952,10000,0,117830000,115100000,772.07,12.952,1.295,8884.03,small2676
small2676_apache2_c_100,Apache/2.4.7,52.39.163.150,11510,100,10.691,10000,0,117830000,115100000,935.33,106.914,1.069,10762.68,small2676
small2676_apache2_c_1000,Apache/2.4.7,52.39.163.150,11510,1000,14.836,10000,0,117830000,115100000,674.03,1483.623,1.484,7755.90,small2676
small2676_apache2_c_110,Apache/2.4.7,52.39.163.150,11510,110,12.641,10000,0,117830000,115100000,791.06,139.054,1.264,9102.62,small2676
small2676_apache2_c_120,Apache/2.4.7,52.39.163.150,11510,120,11.426,10000,0,117830000,115100000,875.18,137.114,1.143,10070.59,small2676
small2676_apache2_c_130,Apache/2.4.7,52.39.163.150,11510,130,12.308,10000,0,117830000,115100000,812.46,160.009,1.231,9348.79,small2676
small2676_apache2_c_140,Apache/2.4.7,52.39.163.150,11510,140,10.968,10000,0,117830000,115100000,911.75,153.551,1.097,10491.34,small2676
small2676_apache2_c_150,Apache/2.4.7,52.39.163.150,11510,150,10.603,10000,0,117830000,115100000,943.12,159.047,1.060,10852.33,small2676
small2676_apache2_c_160,Apache/2.4.7,52.39.163.150,11510,160,11.140,10000,0,117830000,115100000,897.70,178.232,1.114,10329.74,small2676
small2676_apache2_c_170,Apache/2.4.7,52.39.163.150,11510,170,11.282,10000,0,117830000,115100000,886.36,191.795,1.128,10199.23,small2676
small2676_apache2_c_180,Apache/2.4.7,52.39.163.150,11510,180,10.263,10000,0,117830000,115100000,974.37,184.735,1.026,11211.89,small2676
small2676_apache2_c_190,Apache/2.4.7,52.39.163.150,11510,190,10.581,10000,0,117830000,115100000,945.11,201.034,1.058,10875.25,small2676
small2676_apache2_c_20,Apache/2.4.7,52.39.163.150,11510,20,11.406,10000,0,117830000,115100000,876.76,22.811,1.141,10088.74,small2676
small2676_apache2_c_200,Apache/2.4.7,52.39.163.150,11510,200,10.596,10000,0,117830000,115100000,943.79,211.912,1.060,10860.00,small2676
small2676_apache2_c_210,Apache/2.4.7,52.39.163.150,11510,210,12.636,10000,0,117830000,115100000,791.41,265.349,1.264,9106.63,small2676
small2676_apache2_c_220,Apache/2.4.7,52.39.163.150,11510,220,11.929,10000,0,117830000,115100000,838.27,262.445,1.193,9645.86,small2676
small2676_apache2_c_230,Apache/2.4.7,52.39.163.150,11510,230,11.153,10000,0,117830000,115100000,896.58,256.530,1.115,10316.81,small2676
small2676_apache2_c_240,Apache/2.4.7,52.39.163.150,11510,240,10.300,10000,0,117830000,115100000,970.88,247.199,1.030,11171.75,small2676
small2676_apache2_c_250,Apache/2.4.7,52.39.163.150,11510,250,11.509,10000,0,117830000,115100000,868.85,287.736,1.151,9997.73,small2676
small2676_apache2_c_260,Apache/2.4.7,52.39.163.150,11510,260,10.738,10000,0,117830000,115100000,931.27,279.190,1.074,10715.93,small2676
small2676_apache2_c_270,Apache/2.4.7,52.39.163.150,11510,270,12.979,10000,0,117830000,115100000,770.46,350.438,1.298,8865.61,small2676
small2676_apache2_c_280,Apache/2.4.7,52.39.163.150,11510,280,10.939,10000,0,117830000,115100000,914.20,306.279,1.094,10519.55,small2676
small2676_apache2_c_290,Apache/2.4.7,52.39.163.150,11510,290,10.906,10000,0,117830000,115100000,916.94,316.270,1.091,10551.07,small2676
small2676_apache2_c_30,Apache/2.4.7,52.39.163.150,11510,30,11.729,10000,0,117830000,115100000,852.58,35.187,1.173,9810.50,small2676
small2676_apache2_c_300,Apache/2.4.7,52.39.163.150,11510,300,10.888,10000,0,117830000,115100000,918.47,326.630,1.089,10568.68,small2676
small2676_apache2_c_310,Apache/2.4.7,52.39.163.150,11510,310,10.626,10000,0,117830000,115100000,941.07,329.411,1.063,10828.77,small2676
small2676_apache2_c_320,Apache/2.4.7,52.39.163.150,11510,320,11.090,10000,0,117830000,115100000,901.69,354.888,1.109,10375.63,small2676
small2676_apache2_c_330,Apache/2.4.7,52.39.163.150,11510,330,14.039,10000,0,117830000,115100000,712.29,463.295,1.404,8196.20,small2676
small2676_apache2_c_340,Apache/2.4.7,52.39.163.150,11510,340,11.437,10000,0,117830000,115100000,874.39,388.845,1.144,10061.41,small2676
