filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
micro2_apache2_c_10,Apache/2.4.7,54.187.208.239,11510,10,7.795,10000,0,117830000,115100000,1282.94,7.795,0.779,14762.56,micro2
micro2_apache2_c_100,Apache/2.4.7,54.187.208.239,11510,100,6.911,10000,0,117830000,115100000,1447.07,69.105,0.691,16651.14,micro2
micro2_apache2_c_1000,Apache/2.4.7,54.187.208.239,11510,1000,29.558,10000,0,117830000,115100000,338.32,2955.814,2.956,3892.95,micro2
micro2_apache2_c_110,Apache/2.4.7,54.187.208.239,11510,110,7.329,10000,0,117830000,115100000,1364.38,80.622,0.733,15699.75,micro2
micro2_apache2_c_120,Apache/2.4.7,54.187.208.239,11510,120,7.072,10000,0,117830000,115100000,1413.93,84.870,0.707,16269.88,micro2
micro2_apache2_c_130,Apache/2.4.7,54.187.208.239,11510,130,7.921,10000,0,117830000,115100000,1262.43,102.976,0.792,14526.57,micro2
micro2_apache2_c_140,Apache/2.4.7,54.187.208.239,11510,140,6.870,10000,0,117830000,115100000,1455.56,96.183,0.687,16748.92,micro2
micro2_apache2_c_150,Apache/2.4.7,54.187.208.239,11510,150,6.889,10000,0,117830000,115100000,1451.62,103.333,0.689,16703.58,micro2
micro2_apache2_c_160,Apache/2.4.7,54.187.208.239,11510,160,7.976,10000,0,117830000,115100000,1253.83,127.609,0.798,14427.61,micro2
micro2_apache2_c_170,Apache/2.4.7,54.187.208.239,11510,170,7.247,10000,0,117830000,115100000,1379.87,123.200,0.725,15877.98,micro2
micro2_apache2_c_180,Apache/2.4.7,54.187.208.239,11510,180,8.230,10000,0,117830000,115100000,1215.10,148.136,0.823,13981.96,micro2
micro2_apache2_c_190,Apache/2.4.7,54.187.208.239,11510,190,8.801,10000,0,117830000,115100000,1136.24,167.219,0.880,13074.50,micro2
micro2_apache2_c_20,Apache/2.4.7,54.187.208.239,11510,20,7.899,10000,0,117830000,115100000,1265.98,15.798,0.790,14567.46,micro2
micro2_apache2_c_200,Apache/2.4.7,54.187.208.239,11510,200,9.132,10000,0,117830000,115100000,1095.03,182.643,0.913,12600.37,micro2
