filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
small1_apache2_c_10,Apache/2.4.7,52.38.64.194,11510,10,11.688,10000,0,117830000,115100000,855.56,11.688,1.169,9844.77,small1
small1_apache2_c_100,Apache/2.4.7,52.38.64.194,11510,100,10.619,10000,0,117830000,115100000,941.73,106.187,1.062,10836.39,small1
small1_apache2_c_1000,small1
small1_apache2_c_110,Apache/2.4.7,52.38.64.194,11510,110,10.494,10000,0,117830000,115100000,952.91,115.436,1.049,10964.94,small1
small1_apache2_c_120,Apache/2.4.7,52.38.64.194,11510,120,10.709,10000,0,117830000,115100000,933.76,128.513,1.071,10744.60,small1
small1_apache2_c_130,Apache/2.4.7,52.38.64.194,11510,130,11.286,10000,0,117830000,115100000,886.05,146.719,1.129,10195.62,small1
small1_apache2_c_140,Apache/2.4.7,52.38.64.194,11510,140,11.309,10000,0,117830000,115100000,884.25,158.327,1.131,10174.89,small1
small1_apache2_c_150,Apache/2.4.7,52.38.64.194,11510,150,10.732,10000,0,117830000,115100000,931.77,160.985,1.073,10721.68,small1
small1_apache2_c_160,Apache/2.4.7,52.38.64.194,11510,160,11.403,10000,0,117830000,115100000,876.99,182.442,1.140,10091.41,small1
small1_apache2_c_170,Apache/2.4.7,52.38.64.194,11510,170,14.322,10000,0,117830000,115100000,698.25,243.466,1.432,8034.63,small1
small1_apache2_c_180,Apache/2.4.7,52.38.64.194,11510,180,10.695,10000,0,117830000,115100000,934.98,192.518,1.070,10758.64,small1
small1_apache2_c_190,Apache/2.4.7,52.38.64.194,11510,190,11.742,10000,0,117830000,115100000,851.62,223.105,1.174,9799.43,small1
small1_apache2_c_20,Apache/2.4.7,52.38.64.194,11510,20,11.684,10000,0,117830000,115100000,855.91,23.367,1.168,9848.79,small1
small1_apache2_c_200,Apache/2.4.7,52.38.64.194,11510,200,10.456,10000,0,117830000,115100000,956.42,209.113,1.046,11005.35,small1
small1_apache2_c_210,Apache/2.4.7,52.38.64.194,11510,210,10.865,10000,0,117830000,115100000,920.39,228.164,1.086,10590.80,small1
small1_apache2_c_220,Apache/2.4.7,52.38.64.194,11510,220,11.333,10000,0,117830000,115100000,882.39,249.324,1.133,10153.48,small1
