filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
cs736_micro_iperf.pem,cs736
getData.sh,getData.sh
small2_apache2_c_10,nginx/1.4.6,52.38.107.208,612,10,16.600,10000,0,8530000,6120000,602.41,16.600,1.660,501.81,small2
small2_apache2_c_100,nginx/1.4.6,52.38.107.208,612,100,25.522,10000,0,8530000,6120000,391.82,255.222,2.552,326.39,small2
small2_apache2_c_1000,nginx/1.4.6,52.38.107.208,612,1000,5.456,10000,2734,7212212,4996326,1832.94,545.571,0.546,1290.97,small2
small2_apache2_c_110,nginx/1.4.6,52.38.107.208,612,110,23.866,10000,0,8530000,6120000,419.01,262.523,2.387,349.04,small2
small2_apache2_c_120,nginx/1.4.6,52.38.107.208,612,120,22.824,10000,0,8530000,6120000,438.14,273.886,2.282,364.97,small2
small2_apache2_c_130,nginx/1.4.6,52.38.107.208,612,130,20.313,10000,0,8530000,6120000,492.30,264.068,2.031,410.09,small2
small2_apache2_c_140,nginx/1.4.6,52.38.107.208,612,140,20.363,10000,0,8530000,6120000,491.09,285.080,2.036,409.08,small2
small2_apache2_c_150,nginx/1.4.6,52.38.107.208,612,150,21.371,10000,0,8530000,6120000,467.92,320.566,2.137,389.78,small2
small2_apache2_c_160,nginx/1.4.6,52.38.107.208,612,160,24.014,10000,0,8530000,6120000,416.43,384.220,2.401,346.89,small2
small2_apache2_c_170,nginx/1.4.6,52.38.107.208,612,170,16.734,10000,0,8530000,6120000,597.59,284.475,1.673,497.80,small2
small2_apache2_c_180,nginx/1.4.6,52.38.107.208,612,180,16.816,10000,0,8530000,6120000,594.68,302.683,1.682,495.37,small2
small2_apache2_c_190,nginx/1.4.6,52.38.107.208,612,190,18.101,10000,0,8530000,6120000,552.46,343.916,1.810,460.20,small2
small2_apache2_c_20,nginx/1.4.6,52.38.107.208,612,20,17.876,10000,0,8530000,6120000,559.41,35.752,1.788,465.99,small2
small2_apache2_c_200,nginx/1.4.6,52.38.107.208,612,200,19.556,10000,0,8530000,6120000,511.35,391.125,1.956,425.95,small2
small2_apache2_c_210,nginx/1.4.6,52.38.107.208,612,210,18.192,10000,0,8530000,6120000,549.69,382.035,1.819,457.89,small2
small2_apache2_c_220,nginx/1.4.6,52.38.107.208,612,220,8.046,10000,0,8530000,6120000,1242.88,177.008,0.805,1035.33,small2
small2_apache2_c_230,nginx/1.4.6,52.38.107.208,612,230,19.822,10000,0,8530000,6120000,504.50,455.900,1.982,420.25,small2
small2_apache2_c_240,nginx/1.4.6,52.38.107.208,612,240,5.628,10000,0,8530000,6120000,1776.80,135.074,0.563,1480.09,small2
small2_apache2_c_250,nginx/1.4.6,52.38.107.208,612,250,10.333,10000,0,8530000,6120000,967.79,258.319,1.033,806.18,small2
small2_apache2_c_260,nginx/1.4.6,52.38.107.208,612,260,13.249,10000,0,8530000,6120000,754.75,344.485,1.325,628.71,small2
small2_apache2_c_270,nginx/1.4.6,52.38.107.208,612,270,8.240,10000,0,8530000,6120000,1213.60,222.478,0.824,1010.94,small2
small2_apache2_c_280,nginx/1.4.6,52.38.107.208,612,280,5.663,10000,0,8530000,6120000,1765.78,158.570,0.566,1470.91,small2
small2_apache2_c_290,nginx/1.4.6,52.38.107.208,612,290,5.805,10000,0,8530000,6120000,1722.69,168.342,0.580,1435.01,small2
small2_apache2_c_30,nginx/1.4.6,52.38.107.208,612,30,21.306,10000,0,8530000,6120000,469.36,63.917,2.131,390.98,small2
small2_apache2_c_300,nginx/1.4.6,52.38.107.208,612,300,5.805,10000,0,8530000,6120000,1722.65,174.151,0.581,1434.98,small2
small2_apache2_c_310,nginx/1.4.6,52.38.107.208,612,310,6.098,10000,0,8530000,6120000,1639.97,189.028,0.610,1366.11,small2
small2_apache2_c_320,nginx/1.4.6,52.38.107.208,612,320,6.078,10000,0,8530000,6120000,1645.36,194.486,0.608,1370.60,small2
small2_apache2_c_330,nginx/1.4.6,52.38.107.208,612,330,5.027,10000,0,8530000,6120000,1989.26,165.891,0.503,1657.07,small2
small2_apache2_c_340,nginx/1.4.6,52.38.107.208,612,340,5.528,10000,0,8530000,6120000,1809.00,187.949,0.553,1506.91,small2
small2_apache2_c_350,nginx/1.4.6,52.38.107.208,612,350,6.319,10000,0,8530000,6120000,1582.58,221.157,0.632,1318.31,small2
small2_apache2_c_360,nginx/1.4.6,52.38.107.208,612,360,6.105,10000,0,8530000,6120000,1637.97,219.784,0.611,1364.44,small2
small2_apache2_c_370,nginx/1.4.6,52.38.107.208,612,370,5.840,10000,0,8530000,6120000,1712.42,216.069,0.584,1426.46,small2
small2_apache2_c_380,nginx/1.4.6,52.38.107.208,612,380,6.481,10000,0,8530000,6120000,1543.03,246.268,0.648,1285.36,small2
small2_apache2_c_390,nginx/1.4.6,52.38.107.208,612,390,5.433,10000,0,8530000,6120000,1840.67,211.879,0.543,1533.30,small2
small2_apache2_c_40,nginx/1.4.6,52.38.107.208,612,40,27.663,10000,0,8530000,6120000,361.49,110.654,2.766,301.12,small2
small2_apache2_c_400,nginx/1.4.6,52.38.107.208,612,400,5.465,10000,0,8530000,6120000,1829.67,218.619,0.547,1524.13,small2
small2_apache2_c_410,nginx/1.4.6,52.38.107.208,612,410,5.508,10000,0,8530000,6120000,1815.39,225.846,0.551,1512.24,small2
small2_apache2_c_420,nginx/1.4.6,52.38.107.208,612,420,5.426,10000,0,8530000,6120000,1842.91,227.901,0.543,1535.16,small2
small2_apache2_c_430,nginx/1.4.6,52.38.107.208,612,430,15.835,10000,0,8530000,6120000,631.53,680.889,1.583,526.07,small2
small2_apache2_c_440,nginx/1.4.6,52.38.107.208,612,440,6.267,10000,0,8530000,6120000,1595.75,275.732,0.627,1329.28,small2
small2_apache2_c_450,nginx/1.4.6,52.38.107.208,612,450,5.703,10000,0,8530000,6120000,1753.61,256.614,0.570,1460.77,small2
small2_apache2_c_460,nginx/1.4.6,52.38.107.208,612,460,5.717,10000,0,8530000,6120000,1749.28,262.966,0.572,1457.16,small2
small2_apache2_c_470,nginx/1.4.6,52.38.107.208,612,470,5.325,10000,0,8530000,6120000,1877.90,250.279,0.533,1564.31,small2
small2_apache2_c_480,nginx/1.4.6,52.38.107.208,612,480,5.424,10000,0,8530000,6120000,1843.68,260.349,0.542,1535.80,small2
small2_apache2_c_490,nginx/1.4.6,52.38.107.208,612,490,5.726,10000,0,8530000,6120000,1746.33,280.588,0.573,1454.71,small2
small2_apache2_c_50,nginx/1.4.6,52.38.107.208,612,50,24.708,10000,0,8530000,6120000,404.72,123.542,2.471,337.14,small2
small2_apache2_c_500,nginx/1.4.6,52.38.107.208,612,500,5.208,10000,0,8530000,6120000,1920.07,260.407,0.521,1599.44,small2
small2_apache2_c_510,nginx/1.4.6,52.38.107.208,612,510,5.138,10000,8,8526144,6116712,1946.15,262.056,0.514,1620.42,small2
