filename, server, serverIP, doclength, concurrency, time, compreq, failreq, tottran, htmltran, reqpersec, timeperreqall, timeperreq, transrate, type
micro1_apache2_c_10, Apache/2.4.7, 54.186.41.160, 11510, 10, 8.204, 10000, 0, 117830000, 115100000, 1218.92, 8.204, 0.820, 14025.93, micro1
micro1_apache2_c_100, Apache/2.4.7, 54.186.41.160, 11510, 100, 7.224, 10000, 0, 117830000, 115100000, 1384.20, 72.244, 0.722, 15927.71, micro1
micro1_apache2_c_1000, Apache/2.4.7, 54.186.41.160, 11510, 1000, 21.679, 10000, 0, 117830000, 115100000, 461.27, 2167.910, 2.168, 5307.80, micro1
micro1_apache2_c_110, Apache/2.4.7, 54.186.41.160, 11510, 110, 7.708, 10000, 0, 117830000, 115100000, 1297.42, 84.783, 0.771, 14929.25, micro1
micro1_apache2_c_120, Apache/2.4.7, 54.186.41.160, 11510, 120, 8.957, 10000, 0, 117830000, 115100000, 1116.49, 107.480, 0.896, 12847.25, micro1
micro1_apache2_c_130, Apache/2.4.7, 54.186.41.160, 11510, 130, 8.118, 10000, 0, 117830000, 115100000, 1231.81, 105.535, 0.812, 14174.27, micro1
micro1_apache2_c_140, Apache/2.4.7, 54.186.41.160, 11510, 140, 8.176, 10000, 0, 117830000, 115100000, 1223.05, 114.468, 0.818, 14073.39, micro1
micro1_apache2_c_150, Apache/2.4.7, 54.186.41.160, 11510, 150, 9.829, 10000, 0, 117830000, 115100000, 1017.44, 147.429, 0.983, 11707.52, micro1
micro1_apache2_c_160, Apache/2.4.7, 54.186.41.160, 11510, 160, 9.965, 10000, 0, 117830000, 115100000, 1003.52, 159.439, 0.996, 11547.32, micro1
micro1_apache2_c_170, Apache/2.4.7, 54.186.41.160, 11510, 170, 9.551, 10000, 0, 117830000, 115100000, 1047.02, 162.366, 0.955, 12047.85, micro1
micro1_apache2_c_180, Apache/2.4.7, 54.186.41.160, 11510, 180, 8.446, 10000, 0, 117830000, 115100000, 1183.99, 152.028, 0.845, 13623.98, micro1
micro1_apache2_c_190, Apache/2.4.7, 54.186.41.160, 11510, 190, 8.053, 10000, 0, 117830000, 115100000, 1241.74, 153.011, 0.805, 14288.55, micro1
micro1_apache2_c_20, Apache/2.4.7, 54.186.41.160, 11510, 20, 8.031, 10000, 0, 117830000, 115100000, 1245.12, 16.063, 0.803, 14327.35, micro1
micro1_apache2_c_200, Apache/2.4.7, 54.186.41.160, 11510, 200, 7.956, 10000, 0, 117830000, 115100000, 1256.86, 159.127, 0.796, 14462.47, micro1
micro1_apache2_c_210, Apache/2.4.7, 54.186.41.160, 11510, 210, 9.199, 10000, 0, 117830000, 115100000, 1087.04, 193.185, 0.920, 12508.38, micro1
micro1_apache2_c_220, Apache/2.4.7, 54.186.41.160, 11510, 220, 8.823, 10000, 0, 117830000, 115100000, 1133.40, 194.107, 0.882, 13041.83, micro1
micro1_apache2_c_230, Apache/2.4.7, 54.186.41.160, 11510, 230, 8.520, 10000, 0, 117830000, 115100000, 1173.70, 195.961, 0.852, 13505.58, micro1
micro1_apache2_c_240, Apache/2.4.7, 54.186.41.160, 11510, 240, 8.532, 10000, 0, 117830000, 115100000, 1172.04, 204.771, 0.853, 13486.46, micro1
micro1_apache2_c_250, Apache/2.4.7, 54.186.41.160, 11510, 250, 8.492, 10000, 0, 117830000, 115100000, 1177.56, 212.303, 0.849, 13550.03, micro1
micro1_apache2_c_260, Apache/2.4.7, 54.186.41.160, 11510, 260, 8.246, 10000, 0, 117830000, 115100000, 1212.70, 214.398, 0.825, 13954.33, micro1
micro1_apache2_c_270, Apache/2.4.7, 54.186.41.160, 11510, 270, 8.379, 10000, 0, 117830000, 115100000, 1193.46, 226.232, 0.838, 13732.99, micro1
micro1_apache2_c_280, Apache/2.4.7, 54.186.41.160, 11510, 280, 8.318, 10000, 0, 117830000, 115100000, 1202.19, 232.908, 0.832, 13833.42, micro1
micro1_apache2_c_290, Apache/2.4.7, 54.186.41.160, 11510, 290, 8.682, 10000, 0, 117830000, 115100000, 1151.80, 251.779, 0.868, 13253.59, micro1
