filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
cs736_micro_iperf.pem,cs736
getData.sh,getData.sh
small3_apache2_c_10,lighttpd/1.4.33,52.10.223.187,3568,10,110.553,10000,0,38250000,35680000,90.45,110.553,11.055,337.88,small3
small3_apache2_c_100,lighttpd/1.4.33,52.10.223.187,3568,100,28.984,10000,0,38250000,35680000,345.02,289.835,2.898,1288.78,small3
small3_apache2_c_1000,small3
small3_apache2_c_110,lighttpd/1.4.33,52.10.223.187,3568,110,38.659,10000,0,38250000,35680000,258.67,425.249,3.866,966.23,small3
small3_apache2_c_120,lighttpd/1.4.33,52.10.223.187,3568,120,29.540,10000,0,38250000,35680000,338.53,354.477,2.954,1264.52,small3
small3_apache2_c_130,lighttpd/1.4.33,52.10.223.187,3568,130,29.209,10000,0,38250000,35680000,342.36,379.713,2.921,1278.85,small3
small3_apache2_c_140,lighttpd/1.4.33,52.10.223.187,3568,140,28.905,10000,0,38250000,35680000,345.96,404.671,2.891,1292.28,small3
small3_apache2_c_150,lighttpd/1.4.33,52.10.223.187,3568,150,29.895,10000,0,38250000,35680000,334.51,448.423,2.989,1249.50,small3
small3_apache2_c_160,lighttpd/1.4.33,52.10.223.187,3568,160,27.282,10000,0,38250000,35680000,366.54,436.519,2.728,1369.14,small3
small3_apache2_c_170,lighttpd/1.4.33,52.10.223.187,3568,170,28.042,10000,0,38250000,35680000,356.61,476.707,2.804,1332.07,small3
small3_apache2_c_180,lighttpd/1.4.33,52.10.223.187,3568,180,26.600,10000,0,38250000,35680000,375.93,478.807,2.660,1404.25,small3
small3_apache2_c_190,lighttpd/1.4.33,52.10.223.187,3568,190,31.712,10000,0,38250000,35680000,315.34,602.521,3.171,1177.91,small3
small3_apache2_c_20,lighttpd/1.4.33,52.10.223.187,3568,20,120.087,10000,0,38250000,35680000,83.27,240.174,12.009,311.05,small3
small3_apache2_c_200,lighttpd/1.4.33,52.10.223.187,3568,200,21.583,10000,0,38250000,35680000,463.34,431.650,2.158,1730.73,small3
small3_apache2_c_210,lighttpd/1.4.33,52.10.223.187,3568,210,18.027,10000,0,38250000,35680000,554.71,378.577,1.803,2072.03,small3
small3_apache2_c_220,lighttpd/1.4.33,52.10.223.187,3568,220,7.432,10000,0,38250000,35680000,1345.48,163.510,0.743,5025.84,small3
small3_apache2_c_230,lighttpd/1.4.33,52.10.223.187,3568,230,7.574,10000,0,38250000,35680000,1320.29,174.204,0.757,4931.75,small3
small3_apache2_c_240,lighttpd/1.4.33,52.10.223.187,3568,240,6.948,10000,0,38250000,35680000,1439.18,166.762,0.695,5375.85,small3
small3_apache2_c_250,lighttpd/1.4.33,52.10.223.187,3568,250,7.583,10000,0,38250000,35680000,1318.81,189.564,0.758,4926.23,small3
small3_apache2_c_260,lighttpd/1.4.33,52.10.223.187,3568,260,8.608,10000,0,38250000,35680000,1161.65,223.819,0.861,4339.18,small3
small3_apache2_c_270,lighttpd/1.4.33,52.10.223.187,3568,270,7.246,10000,0,38250000,35680000,1380.07,195.642,0.725,5155.05,small3
small3_apache2_c_280,lighttpd/1.4.33,52.10.223.187,3568,280,11.320,10000,0,38250000,35680000,883.38,316.965,1.132,3299.73,small3
small3_apache2_c_290,lighttpd/1.4.33,52.10.223.187,3568,290,8.511,10000,0,38250000,35680000,1175.01,246.806,0.851,4389.09,small3
small3_apache2_c_30,lighttpd/1.4.33,52.10.223.187,3568,30,110.349,10000,0,38250000,35680000,90.62,331.048,11.035,338.50,small3
small3_apache2_c_300,lighttpd/1.4.33,52.10.223.187,3568,300,9.469,10000,0,38250000,35680000,1056.10,284.065,0.947,3944.90,small3
small3_apache2_c_310,lighttpd/1.4.33,52.10.223.187,3568,310,7.690,10000,0,38250000,35680000,1300.46,238.378,0.769,4857.66,small3
small3_apache2_c_320,lighttpd/1.4.33,52.10.223.187,3568,320,7.029,10000,0,38250000,35680000,1422.71,224.923,0.703,5314.33,small3
small3_apache2_c_330,lighttpd/1.4.33,52.10.223.187,3568,330,8.617,10000,0,38250000,35680000,1160.56,284.345,0.862,4335.11,small3
small3_apache2_c_340,lighttpd/1.4.33,52.10.223.187,3568,340,8.992,10000,0,38250000,35680000,1112.07,305.735,0.899,4153.98,small3
small3_apache2_c_350,lighttpd/1.4.33,52.10.223.187,3568,350,7.407,10000,0,38250000,35680000,1350.00,259.258,0.741,5042.74,small3
small3_apache2_c_360,lighttpd/1.4.33,52.10.223.187,3568,360,11.264,10000,0,38250000,35680000,887.76,405.516,1.126,3316.09,small3
small3_apache2_c_370,lighttpd/1.4.33,52.10.223.187,3568,370,10.448,10000,0,38250000,35680000,957.11,386.579,1.045,3575.16,small3
small3_apache2_c_380,lighttpd/1.4.33,52.10.223.187,3568,380,13.735,10000,0,38250000,35680000,728.07,521.929,1.373,2719.59,small3
small3_apache2_c_390,lighttpd/1.4.33,52.10.223.187,3568,390,9.819,10000,0,38250000,35680000,1018.43,382.944,0.982,3804.18,small3
small3_apache2_c_40,lighttpd/1.4.33,52.10.223.187,3568,40,79.492,10000,0,38250000,35680000,125.80,317.967,7.949,469.90,small3
small3_apache2_c_400,lighttpd/1.4.33,52.10.223.187,3568,400,8.257,10000,0,38250000,35680000,1211.05,330.291,0.826,4523.71,small3
small3_apache2_c_410,lighttpd/1.4.33,52.10.223.187,3568,410,8.086,10000,0,38250000,35680000,1236.77,331.508,0.809,4619.78,small3
small3_apache2_c_420,lighttpd/1.4.33,52.10.223.187,3568,420,9.184,10000,0,38250000,35680000,1088.84,385.730,0.918,4067.22,small3
small3_apache2_c_430,lighttpd/1.4.33,52.10.223.187,3568,430,9.085,10000,0,38250000,35680000,1100.78,390.634,0.908,4111.78,small3
small3_apache2_c_440,lighttpd/1.4.33,52.10.223.187,3568,440,9.194,10000,0,38250000,35680000,1087.69,404.529,0.919,4062.89,small3
small3_apache2_c_450,lighttpd/1.4.33,52.10.223.187,3568,450,6.961,10000,0,38250000,35680000,1436.63,313.232,0.696,5366.33,small3
small3_apache2_c_460,lighttpd/1.4.33,52.10.223.187,3568,460,16.018,10000,0,38250000,35680000,624.28,736.843,1.602,2331.92,small3
small3_apache2_c_470,lighttpd/1.4.33,52.10.223.187,3568,470,9.896,10000,0,38250000,35680000,1010.49,465.122,0.990,3774.52,small3
small3_apache2_c_480,lighttpd/1.4.33,52.10.223.187,3568,480,14.909,10000,0,38250000,35680000,670.76,715.611,1.491,2505.51,small3
small3_apache2_c_490,lighttpd/1.4.33,52.10.223.187,3568,490,8.211,10000,0,38250000,35680000,1217.90,402.331,0.821,4549.30,small3
small3_apache2_c_50,lighttpd/1.4.33,52.10.223.187,3568,50,47.820,10000,0,38250000,35680000,209.12,239.102,4.782,781.12,small3
