filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
medium2676_apache2_c_10,Apache/2.4.7,52.36.141.9,11510,10,7.880,10000,0,117830000,115100000,1269.08,7.880,0.788,14603.05,medium2676
medium2676_apache2_c_100,Apache/2.4.7,52.36.141.9,11510,100,7.699,10000,0,117830000,115100000,1298.82,76.993,0.770,14945.30,medium2676
medium2676_apache2_c_1000,Apache/2.4.7,52.36.141.9,11510,1000,15.386,10000,0,117830000,115100000,649.92,1538.647,1.539,7478.54,medium2676
medium2676_apache2_c_110,Apache/2.4.7,52.36.141.9,11510,110,7.508,10000,0,117830000,115100000,1331.85,82.592,0.751,15325.42,medium2676
medium2676_apache2_c_120,Apache/2.4.7,52.36.141.9,11510,120,7.494,10000,0,117830000,115100000,1334.34,89.932,0.749,15354.08,medium2676
medium2676_apache2_c_130,Apache/2.4.7,52.36.141.9,11510,130,7.939,10000,0,117830000,115100000,1259.67,103.201,0.794,14494.85,medium2676
medium2676_apache2_c_140,Apache/2.4.7,52.36.141.9,11510,140,7.532,10000,0,117830000,115100000,1327.64,105.450,0.753,15276.92,medium2676
medium2676_apache2_c_150,Apache/2.4.7,52.36.141.9,11510,150,7.678,10000,0,117830000,115100000,1302.35,115.176,0.768,14985.95,medium2676
medium2676_apache2_c_160,Apache/2.4.7,52.36.141.9,11510,160,7.530,10000,0,117830000,115100000,1327.93,120.488,0.753,15280.31,medium2676
medium2676_apache2_c_170,Apache/2.4.7,52.36.141.9,11510,170,8.070,10000,0,117830000,115100000,1239.23,137.182,0.807,14259.65,medium2676
medium2676_apache2_c_180,Apache/2.4.7,52.36.141.9,11510,180,9.052,10000,0,117830000,115100000,1104.71,162.939,0.905,12711.71,medium2676
medium2676_apache2_c_190,Apache/2.4.7,52.36.141.9,11510,190,7.609,10000,0,117830000,115100000,1314.19,144.576,0.761,15122.19,medium2676
medium2676_apache2_c_20,Apache/2.4.7,52.36.141.9,11510,20,8.582,10000,0,117830000,115100000,1165.29,17.163,0.858,13408.78,medium2676
medium2676_apache2_c_200,Apache/2.4.7,52.36.141.9,11510,200,8.175,10000,0,117830000,115100000,1223.23,163.501,0.818,14075.55,medium2676
medium2676_apache2_c_210,Apache/2.4.7,52.36.141.9,11510,210,7.402,10000,0,117830000,115100000,1351.04,155.435,0.740,15546.23,medium2676
medium2676_apache2_c_220,Apache/2.4.7,52.36.141.9,11510,220,8.413,10000,0,117830000,115100000,1188.58,185.094,0.841,13676.83,medium2676
medium2676_apache2_c_230,Apache/2.4.7,52.36.141.9,11510,230,7.637,10000,0,117830000,115100000,1309.37,175.657,0.764,15066.69,medium2676
medium2676_apache2_c_240,Apache/2.4.7,52.36.141.9,11510,240,8.716,10000,0,117830000,115100000,1147.28,209.190,0.872,13201.57,medium2676
medium2676_apache2_c_250,Apache/2.4.7,52.36.141.9,11510,250,8.823,10000,0,117830000,115100000,1133.35,220.585,0.882,13041.26,medium2676
medium2676_apache2_c_260,Apache/2.4.7,52.36.141.9,11510,260,7.914,10000,0,117830000,115100000,1263.63,205.757,0.791,14540.35,medium2676
medium2676_apache2_c_270,Apache/2.4.7,52.36.141.9,11510,270,9.124,10000,0,117830000,115100000,1096.02,246.347,0.912,12611.67,medium2676
medium2676_apache2_c_280,Apache/2.4.7,52.36.141.9,11510,280,11.280,10000,0,117830000,115100000,886.53,315.837,1.128,10201.19,medium2676
medium2676_apache2_c_290,Apache/2.4.7,52.36.141.9,11510,290,10.979,10000,0,117830000,115100000,910.86,318.380,1.098,10481.12,medium2676
medium2676_apache2_c_30,Apache/2.4.7,52.36.141.9,11510,30,8.273,10000,0,117830000,115100000,1208.70,24.820,0.827,13908.27,medium2676
medium2676_apache2_c_300,Apache/2.4.7,52.36.141.9,11510,300,11.293,10000,0,117830000,115100000,885.52,338.784,1.129,10189.52,medium2676
medium2676_apache2_c_310,Apache/2.4.7,52.36.141.9,11510,310,12.880,10000,0,117830000,115100000,776.43,399.265,1.288,8934.22,medium2676
medium2676_apache2_c_320,Apache/2.4.7,52.36.141.9,11510,320,11.419,10000,0,117830000,115100000,875.73,365.411,1.142,10076.83,medium2676
medium2676_apache2_c_330,Apache/2.4.7,52.36.141.9,11510,330,11.087,10000,0,117830000,115100000,901.97,365.865,1.109,10378.86,medium2676
medium2676_apache2_c_340,Apache/2.4.7,52.36.141.9,11510,340,11.293,10000,0,117830000,115100000,885.49,383.969,1.129,10189.16,medium2676
medium2676_apache2_c_350,Apache/2.4.7,52.36.141.9,11510,350,11.315,10000,0,117830000,115100000,883.77,396.032,1.132,10169.36,medium2676
medium2676_apache2_c_360,Apache/2.4.7,52.36.141.9,11510,360,13.262,10000,0,117830000,115100000,754.05,477.423,1.326,8676.70,medium2676
medium2676_apache2_c_370,Apache/2.4.7,52.36.141.9,11510,370,12.607,10000,0,117830000,115100000,793.19,466.471,1.261,9127.10,medium2676
medium2676_apache2_c_380,Apache/2.4.7,52.36.141.9,11510,380,12.780,10000,0,117830000,115100000,782.50,485.621,1.278,9004.13,medium2676
medium2676_apache2_c_390,Apache/2.4.7,52.36.141.9,11510,390,11.777,10000,0,117830000,115100000,849.10,459.310,1.178,9770.45,medium2676
medium2676_apache2_c_40,Apache/2.4.7,52.36.141.9,11510,40,7.526,10000,0,117830000,115100000,1328.64,30.106,0.753,15288.46,medium2676
medium2676_apache2_c_400,Apache/2.4.7,52.36.141.9,11510,400,13.014,10000,0,117830000,115100000,768.39,520.567,1.301,8841.78,medium2676
medium2676_apache2_c_410,Apache/2.4.7,52.36.141.9,11510,410,12.079,10000,0,117830000,115100000,827.90,495.229,1.208,9526.51,medium2676
medium2676_apache2_c_420,Apache/2.4.7,52.36.141.9,11510,420,8.967,10000,0,117830000,115100000,1115.23,376.604,0.897,12832.78,medium2676
medium2676_apache2_c_430,Apache/2.4.7,52.36.141.9,11510,430,15.767,10000,0,117830000,115100000,634.25,677.961,1.577,7298.26,medium2676
medium2676_apache2_c_440,Apache/2.4.7,52.36.141.9,11510,440,22.859,10000,0,117830000,115100000,437.46,1005.813,2.286,5033.75,medium2676
medium2676_apache2_c_450,medium2676
medium2676_apache2_c_460,medium2676
medium2676_apache2_c_470,medium2676
medium2676_apache2_c_480,Apache/2.4.7,52.36.141.9,11510,480,10.126,10000,0,117830000,115100000,987.56,486.048,1.013,11363.66,medium2676
medium2676_apache2_c_490,Apache/2.4.7,52.36.141.9,11510,490,9.268,10000,0,117830000,115100000,1079.03,454.110,0.927,12416.27,medium2676
medium2676_apache2_c_50,Apache/2.4.7,52.36.141.9,11510,50,7.537,10000,0,117830000,115100000,1326.83,37.684,0.754,15267.66,medium2676
medium2676_apache2_c_500,Apache/2.4.7,52.36.141.9,11510,500,10.024,10000,0,117830000,115100000,997.63,501.188,1.002,11479.57,medium2676
medium2676_apache2_c_510,Apache/2.4.7,52.36.141.9,11510,510,10.791,10000,0,117830000,115100000,926.69,550.344,1.079,10663.30,medium2676
medium2676_apache2_c_520,Apache/2.4.7,52.36.141.9,11510,520,9.187,10000,0,117830000,115100000,1088.44,477.747,0.919,12524.53,medium2676
