filename,server,serverIP,doclength,concurrency,time,compreq,failreq,tottran,htmltran,reqpersec,timeperreqall,timeperreq,transrate,type
small2670_apache2_c_10,Apache/2.4.7,52.38.234.213,11510,10,12.133,10000,0,117830000,115100000,824.20,12.133,1.213,9483.99,small2670
small2670_apache2_c_100,Apache/2.4.7,52.38.234.213,11510,100,11.416,10000,0,117830000,115100000,875.95,114.162,1.142,10079.43,small2670
small2670_apache2_c_1000,small2670
small2670_apache2_c_110,Apache/2.4.7,52.38.234.213,11510,110,11.316,10000,0,117830000,115100000,883.69,124.478,1.132,10168.52,small2670
small2670_apache2_c_120,Apache/2.4.7,52.38.234.213,11510,120,11.425,10000,0,117830000,115100000,875.24,137.105,1.143,10071.29,small2670
small2670_apache2_c_130,Apache/2.4.7,52.38.234.213,11510,130,11.238,10000,0,117830000,115100000,889.85,146.093,1.124,10239.32,small2670
small2670_apache2_c_140,Apache/2.4.7,52.38.234.213,11510,140,12.334,10000,0,117830000,115100000,810.80,172.670,1.233,9329.71,small2670
small2670_apache2_c_150,Apache/2.4.7,52.38.234.213,11510,150,12.532,10000,0,117830000,115100000,797.98,187.974,1.253,9182.24,small2670
small2670_apache2_c_160,Apache/2.4.7,52.38.234.213,11510,160,11.036,10000,0,117830000,115100000,906.15,176.571,1.104,10426.93,small2670
small2670_apache2_c_170,Apache/2.4.7,52.38.234.213,11510,170,11.207,10000,0,117830000,115100000,892.29,190.521,1.121,10267.42,small2670
small2670_apache2_c_180,Apache/2.4.7,52.38.234.213,11510,180,10.475,10000,0,117830000,115100000,954.68,188.545,1.047,10985.35,small2670
small2670_apache2_c_190,Apache/2.4.7,52.38.234.213,11510,190,10.763,10000,0,117830000,115100000,929.07,204.505,1.076,10690.68,small2670
small2670_apache2_c_20,Apache/2.4.7,52.38.234.213,11510,20,12.869,10000,0,117830000,115100000,777.05,25.738,1.287,8941.44,small2670
small2670_apache2_c_200,Apache/2.4.7,52.38.234.213,11510,200,10.853,10000,0,117830000,115100000,921.40,217.061,1.085,10602.40,small2670
small2670_apache2_c_210,Apache/2.4.7,52.38.234.213,11510,210,10.148,10000,0,117830000,115100000,985.44,213.104,1.015,11339.26,small2670
small2670_apache2_c_220,Apache/2.4.7,52.38.234.213,11510,220,10.063,10000,0,117830000,115100000,993.73,221.389,1.006,11434.66,small2670
small2670_apache2_c_230,Apache/2.4.7,52.38.234.213,11510,230,9.634,10000,0,117830000,115100000,1038.01,221.577,0.963,11944.26,small2670
small2670_apache2_c_240,Apache/2.4.7,52.38.234.213,11510,240,9.741,10000,0,117830000,115100000,1026.64,233.773,0.974,11813.35,small2670
small2670_apache2_c_250,Apache/2.4.7,52.38.234.213,11510,250,9.952,10000,0,117830000,115100000,1004.83,248.797,0.995,11562.45,small2670
small2670_apache2_c_260,Apache/2.4.7,52.38.234.213,11510,260,10.820,10000,0,117830000,115100000,924.25,281.309,1.082,10635.21,small2670
small2670_apache2_c_270,Apache/2.4.7,52.38.234.213,11510,270,10.232,10000,0,117830000,115100000,977.30,276.273,1.023,11245.58,small2670
small2670_apache2_c_280,Apache/2.4.7,52.38.234.213,11510,280,10.728,10000,0,117830000,115100000,932.17,300.375,1.073,10726.32,small2670
small2670_apache2_c_290,Apache/2.4.7,52.38.234.213,11510,290,10.391,10000,0,117830000,115100000,962.34,301.348,1.039,11073.51,small2670
small2670_apache2_c_30,Apache/2.4.7,52.38.234.213,11510,30,11.720,10000,0,117830000,115100000,853.22,35.161,1.172,9817.91,small2670
small2670_apache2_c_300,Apache/2.4.7,52.38.234.213,11510,300,10.101,10000,0,117830000,115100000,989.99,303.033,1.010,11391.67,small2670
small2670_apache2_c_310,Apache/2.4.7,52.38.234.213,11510,310,11.271,10000,0,117830000,115100000,887.19,349.416,1.127,10208.80,small2670
small2670_apache2_c_320,Apache/2.4.7,52.38.234.213,11510,320,11.329,10000,0,117830000,115100000,882.65,362.544,1.133,10156.53,small2670
small2670_apache2_c_330,Apache/2.4.7,52.38.234.213,11510,330,9.989,10000,0,117830000,115100000,1001.15,329.622,0.999,11520.02,small2670
small2670_apache2_c_340,Apache/2.4.7,52.38.234.213,11510,340,9.811,10000,0,117830000,115100000,1019.26,333.575,0.981,11728.48,small2670
small2670_apache2_c_350,Apache/2.4.7,52.38.234.213,11510,350,10.167,10000,0,117830000,115100000,983.55,355.853,1.017,11317.57,small2670
small2670_apache2_c_360,Apache/2.4.7,52.38.234.213,11510,360,10.349,10000,0,117830000,115100000,966.28,372.561,1.035,11118.88,small2670
small2670_apache2_c_370,Apache/2.4.7,52.38.234.213,11510,370,11.412,10000,0,117830000,115100000,876.25,422.253,1.141,10082.89,small2670
small2670_apache2_c_380,Apache/2.4.7,52.38.234.213,11510,380,10.040,10000,0,117830000,115100000,995.97,381.537,1.004,11460.48,small2670
small2670_apache2_c_390,Apache/2.4.7,52.38.234.213,11510,390,10.583,10000,0,117830000,115100000,944.93,412.728,1.058,10873.18,small2670
small2670_apache2_c_40,Apache/2.4.7,52.38.234.213,11510,40,12.452,10000,0,117830000,115100000,803.05,49.810,1.245,9240.60,small2670
small2670_apache2_c_400,Apache/2.4.7,52.38.234.213,11510,400,10.184,10000,0,117830000,115100000,981.97,407.346,1.018,11299.32,small2670
small2670_apache2_c_410,Apache/2.4.7,52.38.234.213,11510,410,10.064,10000,0,117830000,115100000,993.65,412.620,1.006,11433.76,small2670
small2670_apache2_c_420,Apache/2.4.7,52.38.234.213,11510,420,10.952,10000,0,117830000,115100000,913.10,459.970,1.095,10506.92,small2670
small2670_apache2_c_430,Apache/2.4.7,52.38.234.213,11510,430,10.909,10000,0,117830000,115100000,916.69,469.081,1.091,10548.16,small2670
small2670_apache2_c_440,Apache/2.4.7,52.38.234.213,11510,440,9.776,10000,0,117830000,115100000,1022.93,430.138,0.978,11770.65,small2670
small2670_apache2_c_450,Apache/2.4.7,52.38.234.213,11510,450,9.578,10000,0,117830000,115100000,1044.09,430.998,0.958,12014.17,small2670
small2670_apache2_c_460,Apache/2.4.7,52.38.234.213,11510,460,10.026,10000,0,117830000,115100000,997.36,461.217,1.003,11476.49,small2670
small2670_apache2_c_470,Apache/2.4.7,52.38.234.213,11510,470,9.895,10000,0,117830000,115100000,1010.64,465.051,0.989,11629.29,small2670
small2670_apache2_c_480,Apache/2.4.7,52.38.234.213,11510,480,10.188,10000,0,117830000,115100000,981.59,489.003,1.019,11294.98,small2670
small2670_apache2_c_490,Apache/2.4.7,52.38.234.213,11510,490,10.194,10000,0,117830000,115100000,981.01,499.488,1.019,11288.26,small2670
small2670_apache2_c_50,Apache/2.4.7,52.38.234.213,11510,50,10.491,10000,0,117830000,115100000,953.23,52.453,1.049,10968.62,small2670
small2670_apache2_c_500,Apache/2.4.7,52.38.234.213,11510,500,10.226,10000,0,117830000,115100000,977.86,511.320,1.023,11252.09,small2670
small2670_apache2_c_510,Apache/2.4.7,52.38.234.213,11510,510,10.327,10000,0,117830000,115100000,968.30,526.699,1.033,11142.01,small2670
small2670_apache2_c_520,Apache/2.4.7,52.38.234.213,11510,520,9.854,10000,0,117830000,115100000,1014.85,512.391,0.985,11677.71,small2670
small2670_apache2_c_530,Apache/2.4.7,52.38.234.213,11510,530,10.803,10000,0,117830000,115100000,925.70,572.541,1.080,10651.86,small2670
small2670_apache2_c_540,Apache/2.4.7,52.38.234.213,11510,540,11.009,10000,0,117830000,115100000,908.38,594.467,1.101,10452.55,small2670
small2670_apache2_c_550,Apache/2.4.7,52.38.234.213,11510,550,10.346,10000,0,117830000,115100000,966.51,569.055,1.035,11121.52,small2670
small2670_apache2_c_560,Apache/2.4.7,52.38.234.213,11510,560,10.529,10000,0,117830000,115100000,949.76,589.623,1.053,10928.73,small2670
small2670_apache2_c_570,Apache/2.4.7,52.38.234.213,11510,570,10.317,10000,0,117830000,115100000,969.29,588.058,1.032,11153.48,small2670
small2670_apache2_c_580,Apache/2.4.7,52.38.234.213,11510,580,9.822,10000,0,117830000,115100000,1018.13,569.671,0.982,11715.47,small2670
